City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
mar del plata,25,AR,1561152846,59,-46.43,-67.52,51.53,20.22
shentala,100,RU,1561152846,83,54.44,51.46,62.15,1.97
tiznit,0,MA,1561152846,82,29.7,-9.73,66.29,26.84
bambous virieux,75,MU,1561152846,83,-20.34,57.76,71.6,21.92
igarka,100,RU,1561152846,88,67.47,86.57,53.51,24.16
gunjur,40,GM,1561152847,83,13.18,-16.76,78.8,9.17
chuy,100,UY,1561152847,86,-33.69,-53.46,57.83,8.32
auki,66,NG,1561152847,82,12.18,6.51,74.03,13.82
bubaque,0,GW,1561152847,80,11.28,-15.83,80.15,11.86
kaitangata,100,NZ,1561152847,85,-46.28,169.85,41,4
tutoia,20,BR,1561152848,74,-2.76,-42.27,82.4,11.41
provideniya,64,RU,1561152848,59,64.42,-173.23,58.01,4.88
mezhdurechensk,67,RU,1561152848,83,53.69,88.07,51.53,1.97
castro,90,CL,1561152849,93,-42.48,-73.76,53.6,21.92
mamontovo,6,RU,1561152849,75,52.71,81.63,57.29,4.52
burhaniye,0,TR,1561152849,53,39.51,26.98,77,9.17
honningsvag,20,NO,1561152850,81,70.98,25.97,44.6,5.82
boa vista,40,BR,1561152851,46,2.82,-60.67,91.4,6.93
suoyarvi,0,RU,1561152851,94,62.08,32.35,61.61,7.47
geraldton,40,CA,1561152851,35,49.72,-86.95,69.8,5.82
neryungri,92,RU,1561152852,82,56.66,124.71,58.91,1.32
itarema,0,BR,1561152852,84,-2.92,-39.92,75.83,6.96
mayumba,98,GA,1561152852,81,-3.44,10.65,74.75,5.73
vila velha,0,BR,1561152852,74,-3.71,-38.6,86,10.29
usinsk,29,RU,1561152852,79,66,57.56,38.93,10.02
praia,0,BR,1561152853,60,-20.25,-43.81,71.6,10.29
clarence town,24,AU,1561152853,70,-32.59,151.78,50,12.75
port hedland,59,AU,1561152853,45,-20.31,118.58,64.4,11.41
nata,20,CY,1561152853,83,34.78,32.57,75.2,3.36
bhatkal,100,IN,1561152853,83,13.97,74.57,79.07,7.02
kemi,90,FI,1561152854,100,65.74,24.56,55.4,3.36
preobrazheniye,100,RU,1561152854,95,42.9,133.91,53.15,2.33
zhangjiakou,68,CN,1561152854,89,40.77,114.88,58.73,4.16
laguna,5,MX,1561152854,8,27.52,-110.01,104,10.29
aurora,75,US,1561152445,46,41.76,-88.32,71.6,6.93
quatre cocos,75,MU,1561152855,83,-20.21,57.76,71.6,21.92
